city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
63,0.796,1,0,1,2,5,15,4,1,0,74.0,0.0
99,0.884,1,0,2,0,5,7,0,0,0,86.0,0.0
89,0.866,0,1,1,0,5,21,0,5,1,83.0,0.0
5,0.92,1,1,0,1,4,15,8,5,2,75.0,0.0
43,0.698,1,1,0,2,5,3,8,4,1,42.0,0.0
5,0.92,0,0,2,0,5,17,1,5,0,185.5,0.0
91,0.913,1,1,0,0,5,15,8,5,5,140.0,0.0
48,0.91,1,1,2,1,4,14,8,5,5,182.0,0.0
5,0.92,0,1,2,0,2,14,1,5,0,13.0,1.0
61,0.682,1,0,2,0,5,16,0,5,1,172.0,1.0
5,0.92,1,0,2,0,5,2,1,2,0,48.0,0.0
94,0.802,1,0,0,0,5,20,4,5,0,33.0,0.0
49,0.92,1,1,0,1,4,12,1,5,0,142.0,0.0
102,0.579,1,1,0,0,5,12,1,5,0,34.0,0.0
94,0.802,1,0,2,0,5,17,4,5,1,14.0,1.0
11,0.55,1,0,2,0,5,17,0,5,1,27.0,1.0
11,0.55,1,0,2,0,5,19,1,5,0,24.0,1.0
55,0.878,1,1,2,2,5,22,8,5,0,150.0,0.0
5,0.92,0,0,2,0,5,3,5,2,4,20.0,0.0
5,0.92,1,0,2,0,5,16,5,5,0,140.0,0.0
48,0.91,1,0,2,0,5,4,6,5,0,52.0,0.0
103,0.939,1,0,2,0,5,22,4,5,1,160.0,0.0
30,0.897,1,0,2,2,5,20,6,5,1,3.0,0.0
64,0.624,1,0,2,0,5,12,7,5,1,2.0,1.0
48,0.91,1,0,2,0,5,22,2,5,4,28.0,0.0
101,0.754,1,0,2,0,4,22,8,5,3,46.0,0.0
95,0.855,1,0,2,0,5,19,4,5,0,185.5,0.0
13,0.926,1,0,2,0,5,2,7,5,0,36.0,0.0
121,0.949,1,1,0,0,5,15,8,5,0,160.0,1.0
64,0.624,1,0,0,0,5,12,0,2,1,101.0,0.0
13,0.926,1,0,2,2,5,17,4,5,0,46.0,0.0
120,0.925,1,0,2,0,5,22,2,5,4,19.0,0.0
64,0.624,1,0,2,0,5,14,1,5,1,26.0,1.0
116,0.698,1,0,0,0,5,18,7,2,0,90.0,0.0
85,0.896,1,0,2,0,5,20,7,5,3,59.0,0.0
49,0.92,1,0,1,0,1,2,4,1,0,185.5,0.0
64,0.624,0,0,2,0,5,3,4,5,4,74.0,0.0
48,0.91,1,0,2,3,5,22,1,5,1,20.0,1.0
55,0.878,1,0,2,0,5,4,1,5,1,8.0,0.0
5,0.92,1,0,2,0,5,17,1,5,0,131.0,0.0
31,0.836,1,0,0,2,5,18,8,5,0,45.0,0.0
111,0.693,1,0,0,0,5,3,0,5,1,109.0,0.0
95,0.855,1,0,2,0,2,14,1,5,0,70.0,0.0
5,0.92,0,0,2,0,5,22,1,2,4,17.0,0.0
5,0.92,0,1,2,2,5,7,4,5,0,51.0,0.0
5,0.92,0,0,2,0,5,17,4,5,2,60.0,1.0
74,0.893,1,1,2,3,5,22,2,4,4,4.0,0.0
13,0.926,1,1,2,0,5,4,1,5,4,7.0,0.0
4,0.804,1,0,2,2,5,22,1,5,2,164.0,0.0
93,0.666,1,0,2,0,5,13,8,5,3,185.5,0.0
4,0.804,1,1,2,1,4,12,7,2,5,145.0,0.0
5,0.92,1,1,2,3,5,0,8,5,5,70.0,0.0
64,0.624,1,1,2,0,4,14,8,5,0,24.0,0.0
5,0.92,1,1,2,2,2,14,3,5,0,133.0,1.0
11,0.55,1,1,0,0,5,12,8,5,0,20.0,0.0
5,0.92,1,0,2,0,5,2,7,1,0,76.0,0.0
116,0.698,0,1,0,2,5,16,8,5,3,21.0,1.0
64,0.624,0,0,2,0,4,19,6,5,1,34.0,0.0
49,0.92,1,1,2,0,5,20,7,5,1,15.0,0.0
89,0.866,1,1,2,0,5,22,8,5,4,156.0,0.0
5,0.92,1,0,2,0,5,22,6,5,4,15.0,0.0
13,0.926,1,0,2,2,5,22,8,5,5,120.0,0.0
45,0.769,1,0,2,0,3,6,3,5,4,47.0,0.0
101,0.754,1,0,2,0,5,4,8,5,1,100.0,1.0
95,0.855,1,0,1,0,5,17,5,5,5,102.0,0.0
5,0.92,1,1,2,1,4,15,8,5,5,52.0,0.0
13,0.926,1,0,2,1,4,20,0,5,3,39.0,0.0
5,0.92,1,0,0,1,4,15,8,5,0,112.0,1.0
5,0.92,1,1,2,3,5,22,4,5,4,14.0,0.0
48,0.91,1,0,2,0,4,3,8,5,0,4.0,0.0
48,0.91,1,0,2,2,0,22,2,2,4,55.0,0.0
64,0.624,1,0,2,0,5,17,3,5,3,49.0,1.0
48,0.91,1,0,2,0,5,7,8,5,4,72.0,0.0
114,0.925,1,0,0,0,5,6,6,5,2,141.0,1.0
13,0.926,1,1,2,1,4,17,8,5,5,28.0,0.0
5,0.92,1,0,2,0,5,5,3,5,0,6.0,0.0
5,0.92,1,0,2,0,3,9,6,5,0,125.0,0.0
103,0.939,1,0,2,0,5,22,8,5,5,185.5,0.0
5,0.92,1,0,2,0,4,22,1,5,1,33.0,0.0
4,0.804,1,1,2,2,5,17,3,5,4,40.0,0.0
49,0.92,1,0,2,0,5,10,8,5,0,185.5,1.0
5,0.92,0,0,2,2,5,7,3,5,4,55.0,0.0
42,0.698,1,1,2,0,5,22,5,5,4,32.0,0.0
5,0.92,1,0,2,0,0,22,1,5,4,11.0,0.0
101,0.754,1,0,2,0,5,22,7,5,0,41.0,0.0
5,0.92,1,0,2,2,5,22,3,4,4,87.0,1.0
95,0.855,1,0,2,2,5,2,1,5,3,114.0,0.0
98,0.698,1,0,2,0,4,22,8,5,4,33.0,0.0
116,0.698,1,0,1,2,5,16,7,0,0,15.0,0.0
48,0.91,1,1,0,1,4,14,8,5,0,8.0,0.0
55,0.878,0,0,1,1,4,12,1,2,0,22.0,0.0
5,0.92,1,0,2,2,5,22,6,5,3,13.0,0.0
121,0.949,1,0,2,0,5,22,7,4,0,185.5,0.0
5,0.92,1,0,2,2,5,20,0,5,0,22.0,0.0
5,0.92,1,0,2,2,5,22,7,1,0,81.0,0.0
56,0.776,1,0,0,0,5,15,0,1,0,11.0,0.0
119,0.698,1,1,0,0,5,16,6,5,5,24.0,1.0
5,0.92,1,0,2,0,5,22,1,1,0,50.0,0.0
6,0.924,1,1,0,1,4,17,8,5,5,15.0,0.0
70,0.939,1,0,2,2,5,22,0,5,4,31.0,0.0
13,0.926,1,0,2,2,5,22,4,5,5,84.0,0.0
30,0.897,1,0,1,0,5,15,3,5,0,42.0,0.0
64,0.624,1,0,2,0,5,2,0,5,4,105.0,1.0
5,0.92,0,0,2,0,5,22,4,5,4,72.0,0.0
14,0.789,1,0,2,0,5,6,0,5,4,42.0,1.0
119,0.698,1,0,2,0,5,7,4,0,0,152.0,0.0
5,0.92,1,0,2,0,5,4,3,5,0,60.0,0.0
64,0.624,1,1,0,2,5,12,8,5,5,8.0,0.0
48,0.91,1,1,0,2,5,5,8,5,2,17.0,1.0
112,0.923,1,1,2,1,4,1,8,5,0,33.0,0.0
48,0.91,1,0,2,2,5,15,1,1,5,38.0,0.0
5,0.92,1,0,2,0,2,6,7,0,1,178.0,0.0
49,0.92,1,0,2,0,5,7,4,5,0,11.0,0.0
74,0.893,1,0,2,1,4,22,8,5,5,87.0,0.0
94,0.802,1,0,2,0,5,5,8,5,5,84.0,0.0
99,0.884,1,0,2,0,5,22,1,0,1,32.0,0.0
2,0.887,1,0,2,2,5,20,1,5,0,31.0,1.0
64,0.624,1,1,2,0,5,12,5,4,0,39.0,0.0
90,0.775,1,0,2,0,5,18,0,5,0,12.0,0.0
64,0.624,1,0,0,0,5,16,3,5,0,50.0,0.0
51,0.903,1,0,2,0,5,14,1,5,0,55.0,1.0
11,0.55,1,0,2,0,5,16,4,5,5,7.0,1.0
5,0.92,1,0,2,2,2,12,4,0,0,104.0,0.0
49,0.92,1,0,0,0,1,22,8,5,4,90.0,1.0
5,0.92,1,0,2,2,4,22,1,5,4,8.0,0.0
64,0.624,1,1,0,0,5,12,8,5,5,102.0,0.0
64,0.624,1,0,2,2,5,21,0,5,0,185.5,1.0
39,0.555,1,0,2,0,5,15,1,5,0,22.0,0.0
64,0.624,1,1,0,0,5,14,8,5,5,42.0,0.0
49,0.92,1,1,2,4,4,15,8,5,5,50.0,0.0
64,0.624,1,0,2,2,5,14,4,1,0,88.0,0.0
101,0.754,1,0,2,0,5,16,2,5,3,81.0,0.0
5,0.92,1,0,2,2,5,22,3,5,0,7.0,0.0
64,0.624,1,1,2,0,4,14,8,5,5,185.5,0.0
48,0.91,1,0,2,0,5,22,3,5,4,62.0,0.0
5,0.92,1,0,2,0,5,17,4,5,0,83.0,0.0
70,0.939,1,0,2,0,5,20,2,5,4,11.0,0.0
13,0.926,1,1,1,3,5,22,4,5,4,10.0,0.0
70,0.939,1,0,2,2,5,2,2,5,0,114.0,0.0
64,0.624,1,0,2,2,5,14,4,5,0,36.0,0.0
4,0.804,1,1,2,2,5,17,0,5,0,17.0,0.0
48,0.91,1,1,0,0,5,12,8,5,5,80.0,1.0
49,0.92,1,0,1,0,5,22,4,4,4,108.0,0.0
5,0.92,1,0,2,0,5,12,1,5,1,45.0,0.0
5,0.92,1,1,0,0,5,16,8,5,5,77.0,0.0
13,0.926,1,0,2,2,5,7,1,5,1,8.0,0.0
55,0.878,1,1,2,0,5,16,8,5,0,28.0,0.0
36,0.727,0,0,2,0,5,20,1,1,4,37.0,0.0
48,0.91,1,1,0,0,5,12,8,5,1,108.0,1.0
5,0.92,1,0,2,0,5,5,5,5,1,162.0,0.0
101,0.754,1,0,0,1,4,20,8,5,4,41.0,0.0
51,0.903,1,0,2,2,5,11,1,5,3,4.0,0.0
99,0.884,0,1,2,3,5,14,2,4,0,41.0,0.0
51,0.903,1,0,2,0,5,9,3,5,1,12.0,0.0
5,0.92,1,0,2,0,5,22,4,5,0,185.5,0.0
64,0.624,1,0,2,0,5,18,4,5,4,29.0,1.0
5,0.92,1,0,2,0,5,17,1,4,0,11.0,0.0
5,0.92,1,1,0,1,4,14,3,5,0,30.0,0.0
5,0.92,1,0,2,2,5,5,1,5,4,39.0,0.0
4,0.804,1,0,0,1,4,20,8,5,0,16.0,0.0
13,0.926,1,1,2,0,5,22,4,5,4,5.0,0.0
68,0.698,1,1,0,1,4,19,8,5,5,39.0,0.0
13,0.926,1,0,2,2,5,2,4,5,4,29.0,0.0
64,0.624,1,0,0,2,5,15,4,2,1,185.5,0.0
5,0.92,2,1,1,1,4,17,4,1,0,54.0,0.0
49,0.92,1,0,2,0,5,20,4,5,2,44.0,0.0
48,0.91,1,0,2,0,5,7,8,5,4,47.0,0.0
5,0.92,1,0,2,0,5,22,2,2,4,74.0,0.0
64,0.624,1,0,2,2,5,17,0,5,0,8.0,1.0
64,0.624,1,1,0,0,5,18,8,5,5,20.0,1.0
5,0.92,1,0,2,0,5,14,5,5,0,162.0,0.0
74,0.893,1,1,2,0,1,12,4,5,0,110.0,0.0
83,0.762,2,0,1,1,4,14,0,5,0,185.5,0.0
31,0.836,1,0,2,2,5,6,8,5,0,6.0,0.0
93,0.666,1,0,1,0,5,20,0,5,0,19.0,1.0
93,0.666,2,1,2,0,5,22,4,5,4,23.0,1.0
64,0.624,1,1,2,0,5,21,8,5,0,107.0,1.0
30,0.897,1,0,2,2,5,7,3,5,4,134.0,0.0
13,0.926,1,0,2,2,5,3,0,0,0,40.0,0.0
99,0.884,1,0,2,0,5,4,4,5,0,11.0,0.0
49,0.92,1,0,2,0,5,3,8,5,2,102.0,0.0
64,0.624,1,1,0,0,5,12,8,5,5,100.0,0.0
112,0.923,1,1,2,2,5,14,3,5,5,30.0,0.0
5,0.92,1,1,2,1,4,16,8,5,0,20.0,1.0
5,0.92,1,0,2,0,5,6,2,5,2,4.0,0.0
48,0.91,1,1,2,4,4,16,8,5,5,15.0,0.0
64,0.624,1,1,2,0,5,21,8,5,0,14.0,1.0
112,0.923,1,1,2,4,4,1,8,5,5,103.0,0.0
49,0.92,1,0,1,0,5,16,2,4,1,40.0,0.0
48,0.91,1,0,2,3,5,22,1,5,1,27.0,0.0
13,0.926,1,1,2,1,4,2,1,5,4,46.0,0.0
13,0.926,1,0,2,1,4,18,4,5,4,110.0,0.0
5,0.92,1,0,2,0,5,5,4,1,0,96.0,0.0
5,0.92,1,0,2,0,5,16,3,5,1,57.0,0.0
49,0.92,1,0,0,0,5,17,8,5,0,185.5,0.0
121,0.949,1,0,2,0,5,15,4,1,3,42.0,0.0
103,0.939,1,0,2,2,5,18,8,5,0,16.0,1.0
18,0.64,1,0,2,0,5,22,4,5,5,40.0,1.0
5,0.92,1,0,2,0,5,16,1,1,1,94.0,0.0
75,0.794,1,1,2,0,5,20,6,5,0,160.0,0.0
55,0.878,1,1,1,0,5,2,0,0,0,25.0,0.0
80,0.516,1,0,2,0,5,20,7,0,0,11.0,0.0
55,0.878,1,0,2,1,4,21,1,5,0,29.0,0.0
116,0.698,1,0,2,0,5,19,8,5,0,23.0,0.0
36,0.727,1,0,2,0,5,2,0,5,1,113.0,0.0
101,0.754,1,0,2,0,5,7,8,5,1,56.0,0.0
6,0.924,1,1,0,0,5,12,8,5,0,39.0,1.0
5,0.92,1,1,2,0,5,12,2,5,0,20.0,0.0
49,0.92,1,0,0,0,5,22,3,5,0,40.0,0.0
5,0.92,1,0,2,2,5,22,7,5,4,56.0,0.0
39,0.555,1,1,0,0,5,15,8,5,0,106.0,0.0
13,0.926,1,0,1,0,5,11,5,5,1,64.0,0.0
101,0.754,1,0,2,0,5,16,3,5,0,51.0,0.0
95,0.855,0,0,0,0,5,17,2,5,1,41.0,0.0
5,0.92,1,0,2,0,5,13,1,5,4,150.0,0.0
102,0.579,1,0,2,0,5,15,0,5,0,185.5,0.0
30,0.897,1,0,2,2,5,18,8,5,5,20.0,0.0
64,0.624,1,1,0,0,4,15,2,5,0,9.0,1.0
4,0.804,1,0,0,0,5,20,6,5,0,74.0,0.0
64,0.624,1,0,2,2,5,14,8,4,0,129.0,1.0
95,0.855,0,0,2,2,5,2,8,5,0,42.0,0.0
91,0.913,1,1,2,1,4,12,1,5,5,58.0,0.0
5,0.92,1,1,0,1,4,14,8,5,0,126.0,1.0
5,0.92,1,1,2,1,4,15,8,5,0,45.0,1.0
112,0.923,1,0,2,0,5,22,0,5,4,166.0,0.0
91,0.913,1,0,2,0,5,12,4,5,0,110.0,0.0
5,0.92,1,0,0,0,5,22,8,5,0,37.0,0.0
4,0.804,0,0,1,0,5,12,8,5,0,95.0,1.0
5,0.92,1,0,2,0,5,22,8,5,4,29.0,1.0
13,0.926,1,0,2,2,5,22,4,5,4,31.0,0.0
15,0.743,1,1,0,2,5,3,4,5,4,97.0,0.0
13,0.926,1,1,2,4,4,14,8,5,5,16.0,0.0
5,0.92,1,1,2,4,4,15,8,5,5,14.0,0.0
4,0.804,1,0,2,3,5,22,1,5,4,185.5,0.0
5,0.92,0,0,2,0,5,12,0,1,0,185.5,0.0
5,0.92,1,0,2,2,5,10,3,5,1,116.0,0.0
4,0.804,1,0,2,2,5,8,1,5,3,161.0,0.0
49,0.92,1,0,2,0,5,22,8,5,4,25.0,1.0
5,0.92,1,0,2,0,5,10,5,5,4,94.0,0.0
5,0.92,1,0,2,0,5,7,3,5,4,16.0,0.0
116,0.698,1,0,0,2,5,7,8,5,0,100.0,0.0
5,0.92,1,0,2,0,5,13,3,5,5,107.0,0.0
45,0.769,1,0,1,2,5,3,8,5,0,17.0,0.0
48,0.91,1,0,2,0,5,2,7,5,0,140.0,0.0
103,0.939,1,0,2,0,2,14,3,5,1,75.0,0.0
103,0.939,1,0,2,1,4,17,8,5,0,59.0,0.0
65,0.899,1,0,2,1,4,17,4,5,0,146.0,0.0
118,0.865,1,1,2,0,4,14,8,5,5,185.5,0.0
95,0.855,0,0,2,2,5,20,1,5,1,42.0,1.0
5,0.92,1,0,2,0,3,6,8,5,0,131.0,0.0
119,0.698,1,0,1,1,4,20,8,5,3,74.0,0.0
48,0.91,0,0,2,0,5,18,3,5,0,22.0,0.0
4,0.804,1,1,2,0,5,14,8,5,5,53.0,1.0
91,0.913,1,0,2,2,5,22,5,5,4,143.0,0.0
95,0.855,0,0,2,0,5,6,4,5,1,72.0,0.0
5,0.92,1,0,2,1,4,3,5,5,0,7.0,0.0
30,0.897,1,1,0,0,5,14,4,0,0,182.0,0.0
122,0.915,1,0,2,0,5,7,4,5,3,50.0,0.0
2,0.887,1,0,2,1,4,12,4,4,0,82.0,0.0
48,0.91,1,0,2,0,5,12,3,5,0,58.0,0.0
6,0.924,1,0,2,0,5,20,0,5,0,94.0,0.0
64,0.624,1,0,2,0,5,15,7,5,1,60.0,1.0
94,0.802,1,0,0,2,5,16,1,5,3,124.0,0.0
41,0.689,1,1,2,4,4,12,8,5,1,46.0,0.0
43,0.698,1,1,0,2,5,14,8,2,1,57.0,1.0
49,0.92,0,0,2,0,5,20,4,5,0,17.0,0.0
5,0.92,1,0,2,0,5,6,6,5,4,101.0,0.0
42,0.698,1,1,2,4,4,14,8,5,5,31.0,0.0
30,0.897,1,0,2,0,5,22,8,5,0,36.0,0.0
74,0.893,1,0,1,0,5,7,8,5,3,185.5,0.0
48,0.91,1,1,2,2,5,16,3,5,5,31.0,0.0
11,0.55,1,0,2,2,5,20,4,5,0,12.0,0.0
5,0.92,1,0,2,0,5,22,4,1,0,31.0,0.0
5,0.92,1,0,2,0,5,13,8,5,4,26.0,1.0
5,0.92,1,0,2,0,5,17,4,5,0,55.0,0.0
64,0.624,1,0,2,0,5,3,8,5,4,8.0,1.0
48,0.91,1,0,2,1,4,22,1,5,4,38.0,0.0
65,0.899,1,0,2,0,2,8,8,5,1,8.0,0.0
55,0.878,1,0,2,2,5,22,2,5,2,32.0,1.0
77,0.776,1,0,1,0,5,10,1,1,4,51.0,0.0
4,0.804,1,0,0,0,5,20,6,5,1,22.0,0.0
13,0.926,1,0,0,1,4,18,8,5,0,17.0,0.0
48,0.91,1,1,2,0,4,14,8,5,5,24.0,0.0
65,0.899,1,0,2,0,5,16,0,1,0,19.0,0.0
64,0.624,1,0,0,2,5,20,4,5,1,46.0,1.0
48,0.91,0,0,2,0,5,5,4,5,4,15.0,0.0
49,0.92,1,0,2,2,5,22,8,5,4,23.0,1.0
74,0.893,1,0,2,0,5,22,1,5,4,38.0,0.0
64,0.624,1,1,0,2,5,15,8,5,5,46.0,1.0
4,0.804,1,1,0,0,1,21,8,5,5,185.5,0.0
5,0.92,1,0,2,0,5,22,2,4,4,52.0,0.0
5,0.92,0,1,2,0,5,21,8,5,5,22.0,1.0
13,0.926,1,0,2,2,5,7,1,5,1,65.0,0.0
49,0.92,1,0,0,0,3,6,4,5,0,64.0,0.0
5,0.92,1,0,2,0,5,18,6,5,3,86.0,0.0
2,0.887,1,1,0,0,5,15,8,5,0,52.0,1.0
30,0.897,1,0,2,2,5,6,8,5,4,21.0,0.0
13,0.926,1,1,2,0,5,14,2,4,0,86.0,0.0
30,0.897,1,1,0,2,5,16,8,5,3,185.5,1.0
48,0.91,1,0,2,2,5,22,1,5,4,53.0,0.0
103,0.939,1,0,2,0,5,9,4,5,0,60.0,0.0
48,0.91,1,0,2,2,5,10,8,5,4,178.0,0.0
103,0.939,1,0,2,3,5,22,4,5,1,166.0,0.0
6,0.924,1,0,2,3,2,22,8,5,0,62.0,0.0
64,0.624,1,0,0,0,5,18,3,5,0,35.0,0.0
5,0.92,1,0,2,0,5,9,1,5,4,106.0,0.0
31,0.836,1,1,2,0,5,17,7,5,5,58.0,0.0
116,0.698,1,0,0,2,4,0,8,5,5,44.0,1.0
48,0.91,1,0,2,2,5,17,4,1,0,72.0,0.0
5,0.92,1,0,2,1,4,10,3,5,0,80.0,0.0
103,0.939,1,0,2,2,5,8,6,2,1,166.0,0.0
1,0.895,1,0,2,2,5,22,1,5,0,25.0,0.0
5,0.92,1,0,2,0,1,22,3,5,5,109.0,0.0
99,0.884,1,0,2,0,5,1,7,0,0,37.0,0.0
11,0.55,1,1,0,0,5,15,8,5,5,55.0,1.0
5,0.92,1,1,2,0,4,14,8,5,5,32.0,0.0
82,0.89,1,1,2,0,5,20,4,5,2,51.0,0.0
5,0.92,1,0,2,0,5,8,4,1,0,84.0,0.0
13,0.926,1,0,2,0,5,22,5,2,0,72.0,0.0
2,0.887,1,0,2,1,4,22,1,5,0,47.0,0.0
95,0.855,1,1,0,0,5,4,8,5,3,47.0,0.0
101,0.754,1,0,2,1,4,17,7,1,1,20.0,0.0
64,0.624,1,0,2,0,5,19,8,5,0,185.5,1.0
5,0.92,1,1,2,0,4,12,2,4,0,64.0,0.0
85,0.896,1,0,2,2,5,7,3,5,4,23.0,1.0
99,0.884,1,1,0,2,5,6,1,4,2,96.0,0.0
64,0.624,1,1,2,1,4,12,8,5,5,185.5,0.0
101,0.754,1,0,2,0,5,20,7,2,0,8.0,0.0
83,0.762,1,0,2,0,5,22,1,5,0,48.0,0.0
64,0.624,1,0,2,0,5,19,0,5,0,98.0,1.0
13,0.926,1,1,2,3,5,18,5,2,5,46.0,0.0
5,0.92,1,1,0,0,5,1,8,5,0,53.0,1.0
5,0.92,1,0,2,0,0,22,7,5,0,102.0,0.0
49,0.92,1,1,0,0,5,15,8,5,0,76.0,0.0
5,0.92,1,1,2,4,4,1,8,5,5,43.0,0.0
5,0.92,1,1,2,0,5,22,4,5,4,32.0,0.0
95,0.855,1,0,2,0,5,16,8,5,0,54.0,0.0
50,0.767,1,0,0,2,5,19,0,5,0,7.0,0.0
99,0.884,0,0,2,2,5,14,8,5,1,185.5,1.0
109,0.847,1,0,2,0,4,22,5,5,5,96.0,0.0
49,0.92,0,0,0,0,5,15,6,5,0,7.0,0.0
48,0.91,1,0,2,0,5,8,0,5,0,53.0,0.0
95,0.855,1,0,2,0,5,2,0,1,0,161.0,0.0
30,0.897,1,1,2,2,5,19,0,5,0,11.0,0.0
78,0.827,1,0,2,0,5,20,1,4,1,6.0,0.0
64,0.624,1,1,0,0,5,1,4,5,0,72.0,1.0
7,0.794,0,0,2,2,2,17,4,5,0,182.0,0.0
103,0.939,1,0,2,0,5,22,6,5,4,67.0,0.0
24,0.527,0,1,2,0,5,1,8,5,0,50.0,0.0
